UTC time	2708_pm1	2708_pm25	2708_pm10	2708_temperature	2708_humidity	2708_pressure
2018-03-12T22:00:00Z	23.616000	40.160000	61.566667	9.841667	93.484998	99242.654022
2018-03-12T23:00:00Z	17.344000	29.098667	47.740000	9.533333	91.383015	99223.654022
2018-03-13T00:00:00Z	15.642667	26.453333	43.526667	8.797222	98.097955	99230.209578
2018-03-13T01:00:00Z	15.114667	25.248000	40.566667	8.750000	98.143572	99224.320689
2018-03-13T02:00:00Z	12.960000	22.284000	35.055000	8.740625	92.907556	99188.654022
2018-03-13T03:00:00Z	9.728000	17.045333	24.960000	8.691667	93.095416	99199.209578
2018-03-13T04:00:00Z	9.264000	14.841600	20.232000	8.582500	92.852305	99256.354022
2018-03-13T05:00:00Z	9.606000	16.206000	22.342500	8.518750	92.676827	99307.529022
2018-03-13T06:00:00Z	13.402667	22.490667	35.266667	8.572222	92.635766	99394.654022
2018-03-13T07:00:00Z	13.541333	22.528000	35.546667	8.697222	92.737939	99493.765133
2018-03-13T08:00:00Z	13.893333	23.184000	36.913333	9.261111	66.338581	99603.098467
2018-03-13T09:00:00Z	16.020000	27.096000	42.870000	9.603125	86.964802	99693.904022
2018-03-13T10:00:00Z	17.914667	31.061333	49.846667	9.655556	89.083739	99768.654022
2018-03-13T11:00:00Z	18.906667	32.576000	50.660000	9.841667	89.425572	99840.431800
2018-03-13T12:00:00Z	18.421333	31.269333	49.586667	10.263889	84.073054	99897.320689
2018-03-13T13:00:00Z	16.166400	27.873600	45.186000	10.850000	80.627054	99935.054022
2018-03-13T14:00:00Z	17.664000	30.016000	48.133333	11.788889	75.585881	99989.542911
2018-03-13T15:00:00Z	17.626667	29.056000	45.726667	12.025000	75.681067	100013.654022
2018-03-13T16:00:00Z	24.360000	39.780000	60.652500	11.084375	79.721303	100046.154022
2018-03-13T17:00:00Z	26.112000	41.957333	62.820000	10.922222	77.548031	100099.987356
2018-03-13T18:00:00Z	28.965333	47.237333	70.346667	9.869444	78.401605	100170.320689
2018-03-13T19:00:00Z	43.024000	71.968000	110.160000	9.408333	80.986088	100209.876244
2018-03-13T20:00:00Z	41.205333	76.277333	130.826667	8.922222	86.432784	100261.654022
2018-03-13T21:00:00Z	42.581333	75.701333	121.673333	9.011111	86.166334	100295.987356
2018-03-13T22:00:00Z	33.498667	58.426667	93.993333	8.569444	88.221389	100340.320689
2018-03-13T23:00:00Z	22.485333	37.765333	57.573333	8.175000	91.086306	100362.431800
2018-03-14T00:00:00Z	27.342000	46.320000	71.280000	7.996875	90.538762	100366.404022
2018-03-14T01:00:00Z	18.581333	31.088000	49.913333	7.983333	85.801387	100381.876244
2018-03-14T02:00:00Z	16.261333	26.330667	42.620000	7.952778	85.653056	100375.098467
2018-03-14T03:00:00Z	15.189333	24.432000	39.306667	7.525000	88.759116	100409.542911
